consumer_id,name,date_of_complaint,region,complaint
9816,Michael Jones,2024-11-20,North Jeffrey,"The payout was less than expected, and I want to dispute it."
5825,Troy Brown,2024-07-18,Paulaland,I was not informed about exclusions in my policy.
4149,Paul Mcguire,2024-09-24,South Katelyn,"The claim process was delayed, and I had to wait longer than promised."
5343,David Flores,2024-03-16,Johnsonborough,"My claim was denied without proper explanation, and I need further clarification."
8173,Tyler Santos,2024-03-06,Michaelstad,"The insurance policy was not clear about coverage, and I want to review it."
3692,Matthew Hubbard,2024-08-23,Jessicaside,"My claim was denied without proper explanation, and I need further clarification."
9226,Elizabeth Lopez,2024-01-29,Mccormicktown,"I was asked for unnecessary documents, causing delays in my claim."
2225,Tanya Wright,2024-02-23,Lake Nathanview,"My claim was denied without proper explanation, and I need further clarification."
5137,Dr. Mary Williams,2024-04-03,Cardenasport,"The insurance policy was not clear about coverage, and I want to review it."
5776,Michael Dunn,2024-05-01,Jacobside,"I was asked for unnecessary documents, causing delays in my claim."
7805,Sherry Carpenter,2024-09-29,Port Jasmine,"I was asked for unnecessary documents, causing delays in my claim."
8293,Travis Dawson,2024-08-07,South Kathleen,"The payout was less than expected, and I want to dispute it."
7134,Dylan Leonard,2023-12-22,North Harrychester,I was not informed about exclusions in my policy.
2041,James Small,2024-04-30,Carrville,"The payout was less than expected, and I want to dispute it."
8129,Judy Brown,2023-12-01,Anthonyville,I was not informed about exclusions in my policy.
9922,Krystal Holmes,2024-06-03,Craigtown,I was not informed about exclusions in my policy.
2671,John Bolton,2024-08-14,Watsonhaven,"My claim was denied without proper explanation, and I need further clarification."
5502,Robert Phillips,2024-04-13,New Kimberly,"My claim was denied without proper explanation, and I need further clarification."
5363,Laura Little,2024-05-17,Parkerton,I was not informed about exclusions in my policy.
1088,George Hinton,2024-05-19,Caldwellborough,"The claim process was delayed, and I had to wait longer than promised."
3759,Daniel Brown,2024-05-04,Port Tara,"The payout was less than expected, and I want to dispute it."
9204,Stacy Abbott,2024-04-22,Reevesfort,"The payout was less than expected, and I want to dispute it."
7651,Steven Rodriguez,2024-08-25,Grimesside,"My claim was denied without proper explanation, and I need further clarification."
8813,Russell Davis,2024-08-08,Angelaland,"The insurance policy was not clear about coverage, and I want to review it."
2039,Alexa Gordon,2024-10-25,Underwoodberg,"I was asked for unnecessary documents, causing delays in my claim."
6160,Tracy Reyes,2024-06-02,Austinburgh,"The insurance policy was not clear about coverage, and I want to review it."
6181,William Nash,2024-08-17,Oconnellville,I was not informed about exclusions in my policy.
7376,Jorge Ross,2024-04-10,Gregorybury,"The payout was less than expected, and I want to dispute it."
4018,Andrea Jarvis,2024-08-07,Nealfurt,"The payout was less than expected, and I want to dispute it."
5655,Seth Rivera,2024-09-20,New Nicole,"The claim process was delayed, and I had to wait longer than promised."
1465,William Burns,2024-07-31,Lake Andrewhaven,I was not informed about exclusions in my policy.
3566,Abigail Porter,2024-07-13,Johnbury,"The claim process was delayed, and I had to wait longer than promised."
8509,Debra Conner,2024-02-09,South Seanton,"The claim process was delayed, and I had to wait longer than promised."
9959,Carly Clark,2024-10-09,Christineton,"The claim process was delayed, and I had to wait longer than promised."
1856,John Wilson,2024-01-11,New Hannah,"The payout was less than expected, and I want to dispute it."
7941,Joseph Phillips,2024-01-04,New Tasha,"The insurance policy was not clear about coverage, and I want to review it."
2023,Julia Johnson MD,2024-01-22,Port Johnchester,"The insurance policy was not clear about coverage, and I want to review it."
3227,David Kirby,2024-04-27,Lake Lee,I was not informed about exclusions in my policy.
1191,Tracy Garrett,2024-08-30,South Michaelstad,"My claim was denied without proper explanation, and I need further clarification."
8136,Krista Mcbride,2024-07-30,Port Derek,I was not informed about exclusions in my policy.
9753,Pamela Harrison,2024-02-27,Port Eric,"My claim was denied without proper explanation, and I need further clarification."
5002,Gilbert Williamson,2024-11-19,Johnsonview,"I was asked for unnecessary documents, causing delays in my claim."
6960,Lee Miller,2024-01-21,West Jessicashire,"The claim process was delayed, and I had to wait longer than promised."
2677,William Simpson,2024-11-13,Josephtown,"I was asked for unnecessary documents, causing delays in my claim."
1497,Kelli Deleon,2024-11-06,New Catherinemouth,"The insurance policy was not clear about coverage, and I want to review it."
9283,Robert Davidson,2024-02-01,Lake Mariachester,"The claim process was delayed, and I had to wait longer than promised."
1685,Michael Andrews,2024-04-27,Mcguireborough,I was not informed about exclusions in my policy.
8401,Jessica Saunders,2024-04-07,Annastad,I was not informed about exclusions in my policy.
8802,Robin Hampton,2024-06-06,Lake Nicholas,"The payout was less than expected, and I want to dispute it."
8157,Linda Cervantes,2024-08-18,Englishfort,"The claim process was delayed, and I had to wait longer than promised."
4268,Paula Miller,2024-05-28,North Abigail,"I was asked for unnecessary documents, causing delays in my claim."
8471,Michael Cruz,2024-09-07,Jessicaville,I was not informed about exclusions in my policy.
4213,Brenda Rosales,2024-11-02,Ellisberg,"The claim process was delayed, and I had to wait longer than promised."
3106,Kelly Harris,2024-08-08,East Brenda,"I was asked for unnecessary documents, causing delays in my claim."
